NR,81127,AR,4011,L01,1,1,Battalion Staff Operations I,R,04:00 pm-05:50 pm,50,15,35,Gwosch,08/27-12/11,04 0100,Lab/Course Fee: $200.00
C,81902,AR,4100,1,1,1,Spec Topics Leadership Develop,,TBA,9,9,0,Gwosch,08/27-12/11,TBA,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NR,82294,ATM,5100,R01,1,1,Atmos. Sci Research Discussion,M,10:00 am-10:50 am,8,0,8,Mazzoleni,08/27-12/11,15 0125,
NR,84731,ATM,5512,0A,1,3,App Boundary Layer Meterology,MWF,10:00 am-10:50 am,6,4,2,Perlinger,08/27-12/11,14 0214,
NR,84907,ATM,5680,0A,1,3,Geophysical Fluid Dynamics,TR,09:30 am-10:45 am,5,4,1,Prabhakaran,08/27-12/11,15 0230,
NR,82295,ATM,6999,1,1,1.000-12.000,Doctoral Research,,TBA,10,1,9,Xue,08/27-12/11,TBA,
NR,81859,ATM,6999,2,1,1.000-12.000,Doctoral Research,,TBA,10,1,9,Cantrell,08/27-12/11,TBA,
NR,81860,ATM,6999,3,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Xi,08/27-12/11,TBA,
NR,81861,ATM,6999,4,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Kostinski,08/27-12/11,TBA,
NR,81862,ATM,6999,5,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Perlinger,08/27-12/11,TBA,
NR,81863,ATM,6999,6,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Rose,08/27-12/11,TBA,
NR,81864,ATM,6999,7,1,1.000-12.000,Doctoral Research,,TBA,10,1,9,Shaw,08/27-12/11,TBA,
NR,82110,ATM,6999,8,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Carn,08/27-12/11,TBA,
NR,82111,ATM,6999,9,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Doskey,08/27-12/11,TBA,
NR,82112,ATM,6999,10,1,1.000-12.000,Doctoral Research,,TBA,10,2,8,Mazzoleni,08/27-12/11,TBA,
NR,82113,ATM,6999,11,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Mazzoleni,08/27-12/11,TBA,
NR,82114,ATM,6999,12,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Wu,08/27-12/11,TBA,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NR,82814,BMB,6010,0A,1,3,Advanced Biochemistry,MW,11:00 am-12:15 pm,15,10,5,Dam,08/27-12/11,REMOTE,
NR,82815,BMB,6990,1,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Datta,08/27-12/11,TBA,
NR,82899,BMB,6990,2,1,1.000-12.000,Doctoral Research,,TBA,10,2,8,Werner,08/27-12/11,TBA,
NR,82986,BMB,6990,3,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Tang,08/27-12/11,TBA,
NR,82987,BMB,6990,4,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Busov,08/27-12/11,TBA,
NR,82988,BMB,6990,5,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Tumban,08/27-12/11,TBA,
NR,82989,BMB,6990,6,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Shan,08/27-12/11,TBA,
NR,83008,BMB,6990,7,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Goetsch,08/27-12/11,TBA,
NR,83022,BMB,6990,8,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Wei,08/27-12/11,TBA,
NR,83023,BMB,6990,9,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Tiwari,08/27-12/11,TBA,
NR,83190,BMB,6990,10,1,1.000-12.000,Doctoral Research,,TBA,5,2,3,Techtmann,08/27-12/11,TBA,
NR,83191,BMB,6990,11,1,1.000-12.000,Doctoral Research,,TBA,5,0,5,Pour Shahid Saeed Abadi,08/27-12/11,TBA,
NR,83578,BMB,6990,12,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Dam,08/27-12/11,TBA,
NR,83839,BMB,6990,13,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Joshi,08/27-12/11,TBA,
NR,83840,BMB,6990,14,1,1.000-12.000,Doctoral Research,,TBA,5,2,3,Tanasova,08/27-12/11,TBA,
NR,83841,BMB,6990,15,1,1.000-12.000,Doctoral Research,,TBA,10,1,9,Tang,08/27-12/11,TBA,
NR,83842,BMB,6990,16,1,1.000-12.000,Doctoral Research,,TBA,5,0,5,Thompson,08/27-12/11,TBA,
NR,84500,BMB,6990,17,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Tang,08/27-12/11,TBA,
NR,84501,BMB,6990,18,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Goldman,08/27-12/11,TBA,
NR,84502,BMB,6990,19,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Han,08/27-12/11,TBA,
NR,84503,BMB,6990,20,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Malalur Nagaraja Rao,08/27-12/11,TBA,
NR,84504,BMB,6990,21,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Zhao,08/27-12/11,TBA,
NR,84505,BMB,6990,22,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Christov,08/27-12/11,TBA,
NR,84506,BMB,6990,23,1,1.000-12.000,Doctoral Research,,TBA,10,1,9,Fang,08/27-12/11,TBA,
NR,84507,BMB,6990,24,1,1.000-12.000,Doctoral Research,,TBA,10,0,10,Kuelheim,08/27-12/11,TBA,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NR,85031,BL,1100,0A,1OL,3,General Biology I,,TBA,81,80,1,Hersch-Green,08/27-12/11,ONLINE,
NR,85032,BL,1110,L01,1,1,General Biology I Laboratory,M,03:00 pm-05:50 pm,20,19,1,"Hersch-Green , Yadav",08/27-12/11,20 1106,Lab/Course Fee: $186.69
NR,85033,BL,1110,L02,1,1,General Biology I Laboratory,T,12:00 pm-02:50 pm,20,17,3,"Hersch-Green , Quintanilla",08/27-12/11,20 1106,Lab/Course Fee: $186.69
C,85034,BL,1110,L03,1,1,General Biology I Laboratory,R,03:00 pm-05:50 pm,20,20,0,"Hersch-Green , Quintanilla",08/27-12/11,20 1106,Lab/Course Fee: $186.69
NR,85035,BL,1110,L04,1,1,General Biology I Laboratory,W,03:00 pm-05:50 pm,20,19,1,"Hersch-Green , Yadav",08/27-12/11,20 1106,Lab/Course Fee: $186.69
NR,85036,BL,1400,0A,1,3,Principles of Biology,MWF,09:00 am-09:50 am,144,105,39,Huckins,08/27-12/11,15 0135,
NR,85037,BL,1410,L01,1,1,Principles of Biology Lab,W,11:00 am-12:50 pm,24,15,9,"Huckins , Shittu",08/27-12/11,20 1108,Lab/Course Fee: $155.94
NR,85038,BL,1410,L02,1,1,Principles of Biology Lab,W,07:00 pm-08:50 pm,24,18,6,"Huckins , Washeleski",08/27-12/11,20 1108,Lab/Course Fee: $155.94
C,85039,BL,1410,L03,1,1,Principles of Biology Lab,R,09:00 am-10:50 am,24,24,0,"Huckins , Shittu",08/27-12/11,20 1108,Lab/Course Fee: $155.94
NR,85040,BL,1410,L04,1,1,Principles of Biology Lab,R,11:00 am-12:50 pm,24,14,10,"Huckins , Shittu",08/27-12/11,20 1108,Lab/Course Fee: $155.94
NR,85041,BL,1410,L05,1,1,Principles of Biology Lab,R,01:00 pm-02:50 pm,24,11,13,"Huckins , Washeleski",08/27-12/11,20 1108,Lab/Course Fee: $155.94
NR,85042,BL,1410,L06,1,1,Principles of Biology Lab,R,03:00 pm-04:50 pm,24,18,6,"Huckins , Washeleski",08/27-12/11,20 1108,Lab/Course Fee: $155.94
NR,80878,BL,1580,R01,1,1,First Year Exp. in Bio. Sci.,M,02:00 pm-02:50 pm,32,23,9,Wakeham,08/27-12/11,REMOTE,
C,80879,BL,1590,0A,1,1,First Year Exp. in Pre-Health,W,02:00 pm-02:50 pm,28,29,-1,Seigneurie,08/27-12/11,REMOTE,
NR,80880,BL,1600,R01,1,1,Intro to Medical Lab Science,W,11:00 am-11:50 am,35,28,7,Larson,08/27-12/11,20 0303,
NR,80886,BL,1710,R01,1,1,Medical Terminology,T,11:00 am-11:50 am,44,35,9,Morin,08/27-12/11,REMOTE,
NR,84125,BL,2001,0A,1,3,Valuing the Great Lakes,TR,11:00 am-12:15 pm,30,26,4,Marcarelli,08/27-12/11,15 0326,
NR,80887,BL,2010,0A,1,3,Anatomy & Physiology l,MWF,12:00 pm-12:50 pm,174,171,3,Wakeham,08/27-12/11,REMOTE,
NR,80889,BL,2011,L01,1,1,Anatomy & Physiology I Lab,M,02:00 pm-03:50 pm,20,16,4,"Wakeham , Vyas",08/27-12/11,20 1101,Lab/Course Fee: $131.33
NR,81798,BL,2011,L02,1,1,Anatomy & Physiology I Lab,M,07:00 pm-08:50 pm,20,18,2,"Wakeham , Chen",08/27-12/11,20 1101,Lab/Course Fee: $131.33
NR,80890,BL,2011,L03,1,1,Anatomy & Physiology I Lab,T,09:00 am-10:50 am,20,17,3,"Wakeham , Bruning",08/27-12/11,20 1101,Lab/Course Fee: $131.33
NR,80891,BL,2011,L04,1,1,Anatomy & Physiology I Lab,T,02:00 pm-03:50 pm,20,17,3,"Wakeham , Matson",08/27-12/11,20 1101,Lab/Course Fee: $131.33
NR,80893,BL,2011,L05,1,1,Anatomy & Physiology I Lab,T,07:00 pm-08:50 pm,20,17,3,Wakeham,08/27-12/11,20 1101,Lab/Course Fee: $131.33
NR,83188,BL,2011,L06,1,1,Anatomy & Physiology I Lab,W,07:00 pm-08:50 pm,20,16,4,"Wakeham , Yu",08/27-12/11,20 1101,Lab/Course Fee: $131.33
NR,82159,BL,2011,L07,1,1,Anatomy & Physiology I Lab,R,09:00 am-10:50 am,20,18,2,"Wakeham , Vyas",08/27-12/11,20 1101,Lab/Course Fee: $131.33
NR,80894,BL,2011,L08,1,1,Anatomy & Physiology I Lab,R,02:00 pm-03:50 pm,20,15,5,"Wakeham , Yu",08/27-12/11,20 1101,Lab/Course Fee: $131.33
